,product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,Freq
32102,7aa5da3ccd8f2addeb39eac7ec266e8e,livros_interesse_geral,48.0,712.0,1.0,1600.0,25.0,7.0,18.0,216.0
24357,e87ed1eba20ee630499eb23fcfb5c5fa,fashion_calcados,46.0,648.0,2.0,1000.0,18.0,8.0,20.0,173.0
9590,bf6d369fda3cc67f960c9290d3e91158,moveis_sala,54.0,311.0,2.0,4950.0,50.0,10.0,50.0,156.0
3311,67fa36df2c5e624059dda016bfd72e15,climatizacao,53.0,286.0,1.0,150.0,20.0,8.0,13.0,124.0
774,ce87eb0f80420c505b53adef21bf93d6,livros_tecnicos,18.0,612.0,1.0,500.0,23.0,2.0,16.0,123.0
15085,c12f337b7701b3ed6ff08588e9bfed27,telefonia_fixa,49.0,1758.0,1.0,105.0,14.0,10.0,15.0,116.0
23566,f30de5fdde000c5debf03cc49d782249,casa_conforto,58.0,217.0,3.0,5350.0,40.0,20.0,40.0,111.0
18156,0a9dafcfb351b0dd0fafd06b8f842b55,alimentos_bebidas,54.0,1342.0,1.0,1575.0,20.0,18.0,18.0,104.0
14797,38a3b0c53acb7f9b75ba80fa1c597219,market_place,30.0,173.0,1.0,313.0,17.0,12.0,14.0,104.0
24829,a8e35f118bd7f9b1d38fc786b555d210,fashion_roupa_masculina,55.0,1241.0,2.0,500.0,16.0,2.0,20.0,95.0
11426,c11485ba18bc927ccd486e58eaea6ef0,moveis_cozinha_area_de_servico_jantar_e_jardim,53.0,220.0,3.0,1000.0,20.0,30.0,20.0,94.0
28589,af5606ac1cb97d0519a67bd7d9af79b6,sinalizacao_e_seguranca,37.0,515.0,1.0,750.0,45.0,21.0,23.0,93.0
21172,620f37abb44d006ced91c81d81db0412,construcao_ferramentas_seguranca,60.0,1796.0,3.0,150.0,17.0,7.0,17.0,91.0
10038,fd3449bd706d46a7196d18bbd38b32f4,eletrodomesticos_2,60.0,410.0,1.0,640.0,22.0,24.0,21.0,90.0
24721,f9bdcb274f479aa71dd34e8bccdd9a82,construcao_ferramentas_jardim,55.0,2036.0,6.0,200.0,16.0,3.0,12.0,88.0
15660,30c7af0662527b13c438094b5adeae88,alimentos,56.0,2601.0,7.0,2717.0,25.0,16.0,17.0,82.0
399,ef76ea9ee88ad60b9680c7635f2baaa8,bebidas,57.0,497.0,1.0,200.0,20.0,9.0,14.0,81.0
29716,9d1893083966b9c51109f0dc6ab0b0d9,construcao_ferramentas_iluminacao,59.0,976.0,2.0,1000.0,16.0,20.0,16.0,78.0
12043,672e757f331900b9deea127a2a7b79fd,agro_industria_e_comercio,39.0,383.0,1.0,2650.0,30.0,30.0,20.0,74.0
30264,e806247d6aa5e86da4bbbd4a933e0b36,industria_comercio_e_negocios,58.0,1430.0,5.0,11950.0,16.0,103.0,25.0,68.0
2822,e60af9d3fe480442e6ad248d497f6cf9,artigos_de_natal,38.0,238.0,1.0,500.0,16.0,8.0,20.0,65.0
4469,6eb70dfb283dc3f645ed7b03c990dc72,audio,31.0,251.0,2.0,343.0,19.0,11.0,13.0,58.0
30272,42f33073be6531e8f6d0a18fda862ea1,artes,29.0,70.0,1.0,1600.0,40.0,30.0,30.0,55.0
185,6b017e0d95d8765a6f2bed3bc272c61e,fashion_underwear_e_moda_praia,39.0,422.0,1.0,250.0,36.0,4.0,20.0,53.0
4430,99de5bb76bad02d0f39306af0436bcfd,dvds_blu_ray,37.0,1657.0,3.0,800.0,35.0,4.0,25.0,48.0
18226,0b814a3c8fa6dbb849df7c28c1bd6831,moveis_quarto,53.0,530.0,1.0,10700.0,93.0,63.0,11.0,45.0
30920,c7bf71951a3b1bb4af307ab6650da6d2,construcao_ferramentas_ferramentas,30.0,251.0,1.0,500.0,23.0,21.0,14.0,39.0
2441,078b7149a32b479d3cbf1649fea0172c,livros_importados,57.0,3694.0,1.0,300.0,16.0,14.0,16.0,31.0
12683,4608a449f45011c89095f36265e75ec3,portateis_casa_forno_e_cafe,58.0,1257.0,1.0,450.0,16.0,20.0,16.0,31.0
3920,bc4cd4da98dd128c39bf0b8c2674032f,pcs,55.0,3610.0,4.0,2650.0,16.0,31.0,39.0,30.0
5170,f7436ea890d51031855ea79147b5aca9,cine_foto,43.0,299.0,1.0,100.0,16.0,15.0,11.0,28.0
26683,1f05dcc70c1a19407641eccea8ef3bdc,fashion_roupa_feminina,60.0,341.0,1.0,1700.0,25.0,10.0,17.0,27.0
29302,20d7e618ee9f33f59efe64ca4059d185,musica,56.0,406.0,3.0,200.0,16.0,9.0,11.0,27.0
16951,4a7056788ce9287c76ade358f2e2572a,artigos_de_festas,56.0,186.0,6.0,100.0,16.0,6.0,11.0,26.0
11118,5aa0d6ed4e6c0995d62090cd82cde89a,artes_e_artesanato,29.0,654.0,3.0,200.0,16.0,6.0,16.0,19.0
22499,2c955308d12bcb61c241322c9d0390f9,fashion_esporte,56.0,511.0,2.0,200.0,16.0,12.0,12.0,19.0
4550,57646b730d659bc73d8193fc5131014b,flores,48.0,130.0,1.0,450.0,30.0,15.0,20.0,14.0
31437,3fdb534dccf5bc9ab0406944b913787d,fraldas_higiene,58.0,634.0,2.0,600.0,21.0,12.0,17.0,12.0
18610,7afdd65f79f63819ff5bee328843fa37,portateis_cozinha_e_preparadores_de_alimentos,48.0,305.0,1.0,750.0,20.0,20.0,20.0,10.0
18212,c3d08bab8c7c6d9cc1f6cfb5a465c80b,moveis_colchao_e_estofado,32.0,2073.0,4.0,1950.0,41.0,21.0,21.0,10.0
31416,e2dd0cb9b99517a86cbc9441cbb55348,la_cuisine,41.0,194.0,1.0,450.0,31.0,10.0,18.0,10.0
6752,6bbe55cf8f85c87b6eebb775a53402f4,tablets_impressao_imagem,54.0,512.0,1.0,283.0,22.0,12.0,21.0,9.0
4713,4fb3bad6b502eaca3b6d7d87bc1613a4,casa_conforto_2,55.0,191.0,1.0,663.0,20.0,20.0,20.0,5.0
9146,0ab3ab3b2869073aa9afe795fe9151aa,fashion_roupa_infanto_juvenil,52.0,494.0,4.0,600.0,36.0,10.0,26.0,5.0
16930,dbe520fb381ad695a7e1f2807d20c765,pc_gamer,60.0,840.0,6.0,800.0,18.0,22.0,22.0,3.0
6060,8db75af9aed3315374db44d7860e25da,seguros_e_servicos,48.0,461.0,4.0,400.0,26.0,22.0,11.0,2.0
18189,1dceebcc5f23c02ea23e16d5bedca000,cds_dvds_musicais,47.0,117.0,2.0,550.0,35.0,15.0,25.0,1.0
105,a41e356c76fab66334f36de622ecbd3a,,,,,650.0,17.0,14.0,12.0,
